     alpha         Energy
0.20000000      2.1056189
0.22500000      1.9449881
0.25000000      1.8479243
0.27500000      1.7561594
0.30000000      1.6706815
0.32500000      1.6242269
0.35000000      1.5798502
0.37500000      1.5418595
0.40000000      1.5216484
0.42500000      1.5134660
0.45000000      1.5007676
0.47500000      1.4995501
0.50000000      1.5000000
0.52500000      1.5046850
0.55000000      1.5085186
0.57500000      1.5217881
0.60000000      1.5326142
0.62500000      1.5429279
0.65000000      1.5599002
0.67500000      1.5784406
