     alpha         Energy
0.20000000      2.1303559
0.22500000      1.9586011
0.25000000      1.8378012
0.27500000      1.7492899
0.30000000      1.6819966
0.32500000      1.6215911
0.35000000      1.5850502
0.37500000      1.5427923
0.40000000      1.5273502
0.42500000      1.5096377
0.45000000      1.4981990
0.47500000      1.4989984
0.50000000      1.5000000
0.52500000      1.5045229
0.55000000      1.5102432
0.57500000      1.5247520
0.60000000      1.5323520
0.62500000      1.5444071
0.65000000      1.5640789
0.67500000      1.5854757
